13	3.236e-05	1.6054	6.2299	4.4521	0.71259	0.073157	0.29054	0.013093	0.16522	0.091765	0.0088868	0.00043049	0.0016694	5.5368e-05	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
13	0.00032358	1.6117	6.2472	4.4494	0.69167	0.073543	0.27361	0.011542	0.15713	0.093948	0.0089776	0.00051252	0.0018319	5.1899e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
13	0.0032358	1.5293	6.2061	4.5714	0.69321	0.075376	0.28032	0.022272	0.13442	0.070925	0.0053698	0.00034047	0.00099887	0.00011909	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
13	0.013449	1.515	6.1592	4.6412	0.68461	0.090877	0.24712	0.021835	0.11473	0.07438	0.005186	0.00058223	0.0010826	0.00024734	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
15	3.236e-05	1.8023	6.9792	4.6291	1.5894	0.073194	0.81045	0.018555	0.2724	0.18212	0.03419	0.00064378	0.0033045	1.0182e-05	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
15	0.00032358	1.649	7.0146	5.1383	1.1981	0.074044	0.55928	0.026449	0.26342	0.13541	0.011528	0.00058286	0.0020029	4.092e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
15	0.0032358	1.6888	6.9368	4.7436	1.6308	0.079384	0.86024	0.032687	0.25935	0.17249	0.014073	0.0010067	0.0025527	5.4716e-05	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
15	0.013449	1.6263	6.8845	5.1266	1.3626	0.097162	0.58599	0.047188	0.22174	0.13486	0.0089319	0.0011074	0.0018222	0.00026984	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
20	3.236e-05	1.7955	8.7877	6.6704	2.7464	0.074655	1.4192	0.097711	0.41468	0.14579	0.013308	0.00079465	0.0027263	2.0388e-05	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
20	0.00032358	1.7619	8.7996	6.7652	2.6733	0.075063	1.3627	0.11126	0.4053	0.15304	0.010765	0.00076478	0.0024636	2.8447e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
