13	3.236e-05	2.0701	4.8816	3.8197	2.2286	0.072988	1.4607	0.020446	0.27393	0.15831	0.021669	0.00062657	0.0031817	5.9422e-06	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
13	0.00032358	1.9863	4.8704	3.8032	2.3401	0.073452	1.4813	0.034081	0.30529	0.13825	0.017509	0.0005841	0.0023848	3.4143e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
13	0.0032358	1.9699	4.7487	3.9092	2.3722	0.07901	1.2632	0.018539	0.31541	0.21897	0.062741	0.001107	0.0032182	4.3845e-05	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
13	0.013449	2.0729	4.7318	3.93	2.2653	0.097245	1.3144	0.022395	0.36899	0.19161	0.022099	0.0020115	0.003875	0.00018492	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
15	3.236e-05	1.9482	5.4521	4.4354	3.1643	0.074173	2.0129	0.013711	0.37505	0.28235	0.034166	0.0008571	0.0039938	9.5565e-07	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
15	0.00032358	2.1274	5.4811	4.3685	3.023	0.074629	1.664	0.017322	0.38829	0.2757	0.086755	0.00078276	0.0035689	2.0192e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
15	0.0032358	2.0582	5.2103	4.4947	3.2368	0.085611	1.9213	0.040043	0.407	0.25542	0.056159	0.0015426	0.0039565	3.6102e-05	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
15	0.013449	0.87862	5.121	4.4804	4.52	0.43134	1.9262	0.039666	0.36564	0.11747	0.0055211	0.013653	0.0098017	0.027372	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
20	3.236e-05	2.5828	7.1643	5.6375	4.6154	0.072074	3.1308	0.06214	0.54973	0.31291	0.042933	0.00057682	0.0043504	1.005e-06	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
20	0.00032358	2.6462	6.9739	5.7045	4.6754	0.076255	3.1062	0.051382	0.55819	0.36529	0.045589	0.0011885	0.0044808	4.6096e-06	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
