13	3.236e-05	2.2318	4.8816	3.827	2.0596	0.072746	1.4593	0.020443	0.27393	0.077784	0.0060596	0.00010737	0.00060001	8.1463e-05	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
13	0.00032358	2.1079	4.8704	3.8104	2.2113	0.073171	1.4796	0.034078	0.30529	0.077946	0.0049489	0.00011339	0.00052001	0.00012363	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
13	0.0032358	2.1318	4.7487	3.9162	2.2033	0.076397	1.2608	0.018536	0.31541	0.14353	0.04597	0.00029912	0.00085086	0.00016891	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
13	0.013449	2.251	4.7318	3.9381	2.0791	0.088148	1.3143	0.022393	0.36899	0.10597	0.0068589	0.00048301	0.00094742	0.00031053	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
15	3.236e-05	2.1562	5.4521	4.4393	2.9524	0.073289	2.0125	0.013709	0.37505	0.1819	0.015529	0.00016891	0.00082041	0.00010423	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
15	0.00032358	2.2906	5.4811	4.3757	2.8526	0.074071	1.6631	0.017321	0.38829	0.19873	0.068871	0.00022139	0.00097217	7.1092e-05	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
15	0.0032358	2.3948	5.2103	4.5016	2.8933	0.078009	1.911	0.040028	0.40699	0.11411	0.019568	0.00032791	0.00081784	0.00013953	0	 <-Yields/Original-> 	0.74675	0.25002	0.0032358	1.3014E-04	2.0472E-03	1.2673E-04	4.4310E-04	1.7209E-04	1.4462E-05	1.0896E-06	1.6726E-06	4.2440E-07	0
15	0.013449	2.3826	5.121	4.4668	3.0296	0.31925	1.9262	0.039666	0.36563	0.11747	0.0055135	0.0092327	0.0096614	0.00047852	0	 <-Yields/Original-> 	0.72154	0.26501	0.013449	1.3016E-03	5.7706E-03	7.1276E-04	2.3799E-03	6.6960E-04	6.4609E-05	1.0898E-05	1.6728E-05	4.2445E-06	0
20	3.236e-05	2.9052	7.1643	5.6465	4.284	0.072569	3.126	0.062132	0.54973	0.16378	0.009838	9.3684e-05	0.00082772	6.4525e-05	0	 <-Yields/Original-> 	0.75995	0.24002	3.236e-05	1.3014E-06	2.0472E-05	1.2673E-06	4.4310E-06	1.7209E-06	1.4462E-07	1.0896E-08	1.6726E-08	4.2440E-09	0
20	0.00032358	2.9673	6.9739	5.7147	4.3441	0.073735	3.106	0.05138	0.55819	0.2096	0.015328	0.00019037	0.00085319	0.00010478	0	 <-Yields/Original-> 	0.75966	0.24001	0.00032358	1.3014E-05	2.0472E-04	1.2673E-05	4.4310E-05	1.7209E-05	1.4462E-06	1.0896E-07	1.6726E-07	4.2440E-08	0
